price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2.0145,0,2023-11-12 6:44,49451000,0.0023,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49452000,0.0018,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49453000,0.003,1,2023-11-12 6:44
49446000,0.2376,0,2023-11-12 6:44,49454000,0.0023,1,2023-11-12 6:44
49445000,0.0884,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2.0086,0,2023-11-12 6:44,49452000,0.0018,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49453000,0.003,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49454000,0.0023,1,2023-11-12 6:44
49446000,0.2376,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
49445000,0.0884,0,2023-11-12 6:44,49456000,0.0018,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49450000,0.0253,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
49449000,2.013,0,2023-11-12 6:44,49456000,0.0018,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49457000,0.0036,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49458000,0.0082,1,2023-11-12 6:44
49446000,0.2376,0,2023-11-12 6:44,49459000,0.0128,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49451000,0.0217,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
49449000,2.013,0,2023-11-12 6:44,49456000,0.0018,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49457000,0.0036,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49458000,0.0082,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49459000,0.0128,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2.013,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
49445000,0.0884,0,2023-11-12 6:44,49456000,0.0018,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2.013,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
49445000,0.0884,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,0.013,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
49445000,0.0884,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2.013,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49447000,0.021,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
49445000,0.0884,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,0.013,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
49445000,0.0884,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49450000,0.002,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49449000,2.0084,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2.0084,0,2023-11-12 6:44,49450000,0.0078,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2,0,2023-11-12 6:44,49450000,0.0122,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
